id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
301046,IN-0072,small_airport,Raigarh Airport (JSPL),219.352.805.556,833.502.138.889,,AS,India,IN,Chhattisgarh,IN-CT,CT,,0,,,,,,,50,2012-03-25T04:14:07+00:00
520738,VORR,small_airport,Raichur Airport,16.279.722,77.360.278,1230,AS,India,IN,Karnataka,IN-KA,KA,,0,VORR,,,,https://en.wikipedia.org/wiki/Raichur_Airport,Yeramaras,50,2024-02-12T21:39:16+00:00
3283,VA1B,small_airport,Chanda Airport,19.994.699.478.149.400,7.922.250.366.210.930,625,AS,India,IN,Maharashtra,IN-MM,MM,,0,VA1B,,VA1B,,,,50,2008-06-13T14:30:04+00:00
3293,VA1M,small_airport,Karad Airport,17.285.900.115.966.700,7.415.809.631.347.650,1890,AS,India,IN,Maharashtra,IN-MM,MM,,0,VA1M,,VA1M,,,,50,2008-06-13T14:30:04+00:00
3284,VA1C,small_airport,Birlagram Airport,234.468.994.140.625,7.542.030.334.472.650,1541,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VA1C,,VA1C,,,,50,2008-06-13T14:30:04+00:00
3287,VA1F,small_airport,Sidhi Airport,24.402.299.880.981.400,818.147.964.477.539,1093,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VA1F,,VA1F,,,,50,2008-06-13T14:30:04+00:00
3290,VA1J,small_airport,Dhana Airport,23.753.599.166.870.100,7.885.579.681.396.480,1706,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VA1J,,VA1J,,,,50,2008-06-13T14:30:04+00:00
3294,VA1N,small_airport,Nimach Airport,2.443.079.948.425.290,748.677.978.515.625,1617,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VA1N,,VA1N,,,,50,2008-06-13T14:30:04+00:00
3295,VA1O,small_airport,Burhar Airport,23.235.200.881.958.000,8.150.370.025.634.760,1500,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VA1O,,VA1O,,,,50,2008-06-13T14:30:04+00:00
3300,VA2D,small_airport,Ratlam Airport,23.381.399.154.663.000,7.502.559.661.865.230,1702,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VA2D,,VA2D,,,,50,2008-06-13T14:30:04+00:00
3321,VE96,small_airport,Thuniabhand Airport,2.200.160.026.550.290,7.891.719.818.115.230,2182,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VE96,,VE96,,,,50,2008-06-13T14:30:04+00:00
3334,VI76,small_airport,Band Tal Airport,26.000.099.182.128.900,7.826.180.267.333.980,790,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VI76,,VI76,,,,50,2008-06-13T14:30:04+00:00
46623,IN-0060,small_airport,Khargon Govt. Airstrip,21.810.030.194.599.900,7.555.443.763.730.000,,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,,,,,,"Khargon, Khargone, Khargoan",50,2010-12-27T06:18:15+00:00
309587,IN-0086,small_airport,CHINDWARA AIRFIELD,22,78.93,,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,,,,,,,50,2013-09-16T09:13:32+00:00
26522,VEUK,small_airport,Utkela Airport,20.097.401,831.838,680,AS,India,IN,Odisha,IN-OR,OR,,0,VEUK,,,,https://en.wikipedia.org/wiki/Utkela_Airport,,50,2024-05-18T23:50:52+00:00
